Eval-AverageReturn,StdReturn,Time-EnvSampling,PolicyExecTime,Time-EnvSampleProc,Time-AgentEval,AverageReturn,n_timesteps,Epochs,Time-ModelFit,AverageDiscountedReturn,AvgModelEpochTime,MaxReturn,MinReturn,NumTrajs,ItrTime,EnvExecTime,Time,Itr
176.64,10.168393187178292,0.12880229949951172,0.01633620262145996,0.003523588180541992,28.48068618774414,21.28723404255319,2000,99,4.567219018936157,18.861328792219425,0.03809762716293335,62.0,9.0,94,33.18056797981262,0.10065460205078125,33.180577516555786,0
181.0,31.7144376515737,11.289965391159058,10.90011191368103,0.0018463134765625,29.74516224861145,170.16666666666666,4000,99,7.492130756378174,80.94337603034658,0.06743499279022216,200.0,117.0,12,48.52935576438904,0.34520602226257324,81.8137423992157,1
154.28,25.554272310776792,12.926874160766602,12.48429822921753,0.0018496513366699219,24.62661385536194,179.25,6000,12,1.3995003700256348,82.91417996757902,0.09978043116056003,200.0,132.0,12,38.95507478713989,0.39270520210266113,120.87030982971191,2
180.56,44.44745649515716,11.01390814781189,10.630141735076904,0.001665353775024414,29.700085401535034,170.58333333333334,8000,58,7.94001030921936,79.79547127728489,0.12688474735971225,200.0,76.0,12,48.65587592124939,0.34018921852111816,169.62984323501587,3
169.88,40.78083359727813,11.655507802963257,11.252958536148071,0.002875089645385742,27.215882539749146,171.58333333333334,10000,6,1.139636754989624,80.43912172463583,0.15418383053370885,200.0,95.0,12,40.0141339302063,0.35641908645629883,209.73530983924866,4
162.36,29.794667681016715,11.589716911315918,11.189185857772827,0.0019135475158691406,26.69119668006897,181.33333333333334,12000,31,6.1218976974487305,82.98686143964251,0.18329812586307526,200.0,106.0,12,44.40492916107178,0.3545401096343994,254.23470211029053,5
177.08,27.998511865216454,12.639425277709961,12.200839757919312,0.0017406940460205078,28.750744581222534,181.5,14000,1,0.45024704933166504,83.14952515924412,0.21494996547698975,200.0,124.0,12,41.842355489730835,0.38965439796447754,296.1756703853607,6
180.84,50.72947161109436,11.921610116958618,11.508130311965942,0.001783132553100586,29.31992244720459,165.53846153846155,16000,10,2.7234997749328613,77.76166976067444,0.2387279813939875,200.0,34.0,13,43.96704173088074,0.3663618564605713,340.2357313632965,7
169.28,27.647827525212634,12.743545293807983,12.298874616622925,0.0019125938415527344,27.50841522216797,162.46153846153845,18000,9,2.79073166847229,79.69907859200833,0.2703479528427124,200.0,119.0,13,43.04481816291809,0.39482545852661133,383.37712931632996,8
173.92,22.735998325006772,11.76772165298462,11.357276678085327,0.0016100406646728516,27.012401580810547,185.72727272727272,20000,27,8.321491479873657,84.09243057116804,0.2886680279459272,200.0,139.0,11,47.10344219207764,0.3646383285522461,430.5813362598419,9
175.52,37.04327309556558,11.691254138946533,11.28273320198059,0.0017821788787841797,28.49295711517334,149.28571428571428,22000,2,1.0123558044433594,76.1233996680746,0.3273795445760091,200.0,81.0,14,41.19857454299927,0.36266517639160156,471.8713641166687,10
185.16,36.73582493062233,11.67079496383667,11.259608745574951,0.001814126968383789,29.833195447921753,173.25,24000,33,12.030584573745728,81.08911035331771,0.3450271732666913,200.0,105.0,12,53.536625385284424,0.3625965118408203,525.5088622570038,11
176.2,34.9644863557646,11.054917335510254,10.671519041061401,0.0016491413116455078,28.011502981185913,147.64285714285714,26000,3,1.5510103702545166,75.97102942644844,0.3778979778289795,200.0,99.0,14,40.61928129196167,0.3390231132507324,566.2352690696716,12
177.48,32.19590639955472,12.022115707397461,11.606069326400757,0.0016765594482421875,28.46545171737671,175.58333333333334,28000,6,2.892159938812256,81.86514327313482,0.40374255180358887,200.0,112.0,12,43.38161373138428,0.3688936233520508,609.7229843139648,13
176.64,30.562663314719302,12.031009674072266,11.611708402633667,0.0018513202667236328,29.31847906112671,170.08333333333334,30000,6,3.1287999153137207,80.98232999561702,0.4372929845537458,200.0,109.0,12,44.480376958847046,0.37186336517333984,654.299642086029,14
