Time-AgentEval,AverageDiscountedReturn,ItrTime,EnvExecTime,Time-EnvSampling,Time-EnvSampleProc,Eval-AverageReturn,MaxReturn,Time,Time-ModelFit,Epochs,Itr,n_timesteps,MinReturn,PolicyExecTime,AvgModelEpochTime,Pre-Loss,AverageReturn,Post-Loss,StdReturn,NumTrajs
302.80374455451965,21.76327895633664,327.9068875312805,0.27175378799438477,0.31833600997924805,0.009300708770751953,200.0,104.0,327.9068908691406,24.77419090270996,99,0,1000,9.0,0.017425537109375,0.24722575187683105,0.0011368258,25.575,0.0009098973,16.329249064179283,40
255.80850648880005,86.60203251420373,279.7801146507263,0.2893683910369873,13.454404592514038,0.0006413459777832031,200.0,200.0,607.7708690166473,10.516356229782104,62,1,2000,200.0,13.144454956054688,0.16649513774447972,0.0024974234,200.0,0.005519499,0.0,5
257.0115258693695,86.60203251420373,314.99306631088257,0.2690141201019287,13.178183794021606,0.00038623809814453125,199.92,200.0,922.8446280956268,44.80246663093567,99,2,3000,200.0,12.889713048934937,0.4476091623306274,0.0015033238,200.0,0.0019765093,0.0,5
227.53613543510437,86.60203251420373,242.54730701446533,0.2729771137237549,13.256373167037964,0.0003829002380371094,186.32,200.0,1165.4785566329956,1.7540242671966553,2,3,4000,200.0,12.965240955352783,0.5839806397755941,0.00406697,200.0,0.0046025356,0.0,5
224.9251434803009,84.19067061934363,249.8074815273285,0.48058104515075684,22.787472009658813,0.0006947517395019531,189.0,200.0,1415.3813574314117,2.0939595699310303,2,4,5000,178.0,22.276864051818848,0.6975651582082113,0.00561212,183.83333333333334,0.007878364,7.861650943380503,6
242.78693318367004,85.03732592862842,368.3691759109497,0.5096192359924316,23.103249073028564,0.0005755424499511719,198.72,197.0,1783.8328943252563,102.47769045829773,99,5,6000,182.0,22.563915967941284,1.0242465877532958,0.00022390824,189.16666666666666,0.0002576889,5.580223014261069,6
242.72364902496338,86.39063473463472,383.75976824760437,0.5090799331665039,24.987334489822388,0.0004875659942626953,197.35,200.0,2167.68204665184,116.04797768592834,99,6,7000,191.0,24.446985006332397,1.16004141330719,0.00012436416,198.5,9.862816e-05,3.3541019662496847,6
238.5207507610321,85.80409714568503,265.91531777381897,0.4980282783508301,24.484885454177856,0.0005767345428466797,195.96,200.0,2433.6782596111298,2.908482789993286,1,7,8000,189.0,23.95557188987732,1.453503131866455,0.041112963,194.33333333333334,0.048484836,4.2295258468165065,6
242.32939291000366,85.94645291656941,425.80754137039185,0.517935037612915,24.186776161193848,0.0005741119384765625,198.21,200.0,2859.5688955783844,159.29046893119812,99,8,9000,190.0,23.63894557952881,1.592391984462738,0.00018577815,195.33333333333334,0.000101612444,4.14996653266291,6
238.32267045974731,86.37255796218041,450.6980137825012,0.5273196697235107,24.81025528907776,0.0005774497985839844,196.42,200.0,3310.3490874767303,187.56401085853577,99,9,10000,194.0,24.252294778823853,1.8751263809204102,0.00013171203,198.33333333333334,6.606043e-05,2.1343747458109497,6
241.19850063323975,86.27047267764004,469.8926830291748,0.5170962810516357,24.952320098876953,0.0007009506225585938,196.53,200.0,3780.329952955246,203.74068021774292,99,10,11000,188.0,24.404714345932007,2.0368999075889587,0.00034297464,197.66666666666666,0.00028725728,4.384315479321969,6
237.86770105361938,86.17824929684845,494.86250734329224,0.4969143867492676,24.619405508041382,0.0006082057952880859,196.39,200.0,4275.274208784103,232.3741316795349,99,11,12000,189.0,24.0929057598114,2.323257191181183,0.00014209191,197.0,7.984941e-05,4.396968652757639,6
241.6339716911316,86.173753427296,513.1644997596741,0.5157804489135742,24.284902334213257,0.0007884502410888672,198.03,200.0,4788.517464637756,247.24415802955627,99,12,13000,186.0,23.738319158554077,2.472003598213196,0.0001182413,197.0,6.729229e-05,5.033222956847166,6
238.13030076026917,86.32348042628568,537.8846852779388,0.505183219909668,24.903105974197388,0.0006668567657470703,196.54,200.0,5326.490124702454,274.8501877784729,99,13,14000,192.0,24.366496562957764,2.7480251574516297,0.00015160692,198.0,0.00010030646,3.0550504633038935,6
239.55568027496338,86.07896711100231,560.925580739975,0.5082838535308838,24.389986276626587,0.0009639263153076172,196.65,200.0,5887.50842499733,296.9777228832245,99,14,15000,187.0,23.848307371139526,2.969286162853241,0.00027565125,196.33333333333334,0.00023353499,5.312459150169742,6
