Pre-Loss,AvgModelEpochTime,Time-AgentEval,Post-Loss,Itr,AverageDiscountedReturn,MinReturn,Time-ModelFit,MaxReturn,n_timesteps,Epochs,EnvExecTime,Time-EnvSampling,Time,PolicyExecTime,AverageReturn,Eval-AverageReturn,NumTrajs,Time-EnvSampleProc,ItrTime,StdReturn
0.013994807,0.0853350305557251,153.66343307495117,0.00033770935,0,18.369450640850957,9.0,8.544965982437134,41.0,1000,99,0.08574056625366211,0.10691356658935547,162.31659412384033,0.011225223541259766,20.52,163.54,50,0.0010025501251220703,162.31658720970154,8.141842543306767
0.00050194515,0.03138570547103882,164.00404024124146,0.00018609455,1,82.75436774427946,151.0,3.1502177715301514,200.0,2000,99,0.30809736251831055,14.35788083076477,343.91051602363586,14.019740104675293,177.0,185.87,6,0.0010714530944824219,181.51336860656738,20.575065816014618
0.00016393508,0.08738524675369262,91.30303740501404,7.663574e-05,2,83.79374490376892,175.0,8.7498037815094,186.0,3000,99,0.36835479736328125,17.402385711669922,461.4626553058624,16.99883008003235,181.14285714285714,100.64356435643565,7,0.0008521080017089844,117.45621848106384,3.9070840946220975
0.00045985918,0.11520339965820313,192.11095786094666,0.00044999062,3,62.22098006936431,85.0,11.53201937675476,110.0,4000,99,0.2776525020599365,12.884973764419556,678.0874116420746,12.579988241195679,97.18181818181819,200.0,11,0.0011861324310302734,216.52926778793335,8.088355061649171
0.0007305742,0.14365537881851195,56.22592759132385,0.0006334934,4,86.60203251420373,200.0,14.377055644989014,200.0,5000,99,0.20018458366394043,9.5343656539917,758.3147540092468,9.313488006591797,200.0,66.6,5,0.0008404254913330078,80.1383330821991,0.0
0.00016318561,0.19950976610183715,192.31762957572937,0.00010809914,5,46.9319716752127,50.0,19.962629079818726,81.0,6000,99,0.23230528831481934,10.14978313446045,980.8496477603912,9.895034551620483,63.411764705882355,200.0,17,0.0008301734924316406,222.43100714683533,8.670835657735662
0.0001371363,0.22763774394989014,176.7676739692688,0.00011162329,6,86.60203251420373,200.0,22.774802684783936,200.0,7000,99,0.20165419578552246,9.544272661209106,1190.0457031726837,9.323013305664062,200.0,197.0,5,0.00040984153747558594,209.0872619152069,0.0
0.00026317316,0.28774199724197386,166.94035577774048,0.0001995366,7,86.46323563213497,194.0,28.78609037399292,200.0,8000,99,0.3966987133026123,18.903387308120728,1404.756331205368,18.470064163208008,199.0,189.2,6,0.0014603137969970703,214.6314537525177,2.23606797749979
0.0002311981,0.31553781747817994,129.9048171043396,0.00018209642,8,84.41462428730382,144.0,31.56546449661255,200.0,9000,99,0.3340609073638916,15.715214729309082,1582.04638838768,15.348305225372314,187.16666666666666,147.54,6,0.0012662410736083984,177.18689036369324,19.970116563394306
0.0004458226,0.37169251680374144,130.3987169265747,0.0003651044,9,76.75816733470833,142.0,37.18082904815674,153.0,10000,99,0.2850770950317383,13.467587947845459,1763.1995329856873,13.155420064926147,145.25,146.1,8,0.0012087821960449219,181.04849076271057,3.4550687402713134
0.00035735974,0.3999892544746399,174.31713032722473,0.00030937017,10,82.26686919879154,134.0,40.01095628738403,200.0,11000,99,0.3305349349975586,15.535558462142944,1993.150235414505,15.173054218292236,174.33333333333334,191.96,6,0.001277923583984375,229.86508989334106,20.417857108151406
0.00039679126,0.4322259783744812,104.84262347221375,0.00038489274,11,85.37284686871834,182.0,43.234500885009766,200.0,12000,99,0.3704829216003418,17.68537998199463,2159.0132274627686,17.280009269714355,191.5,118.28,6,0.0017375946044921875,165.7644395828247,6.825198409814424
0.00046342402,0.4880321311950684,134.47541069984436,0.00041660995,12,75.54700322208842,108.0,48.81538772583008,196.0,13000,99,0.3115084171295166,14.335762739181519,2356.745898246765,13.993988037109375,143.625,151.21,8,0.0014629364013671875,197.62820100784302,27.39040662348772
0.0005683014,0.5443546986579895,82.99266004562378,0.0005214383,13,78.06860136800438,148.0,54.447614669799805,157.0,14000,99,0.2916433811187744,13.85377311706543,2508.128641605377,13.533894300460815,151.0,96.5,8,0.0014007091522216797,151.29561161994934,2.6457513110645907
0.00045223214,0.5732004451751709,140.62265968322754,0.00037047185,14,74.76425244293168,52.0,57.33167743682861,195.0,15000,99,0.3263974189758301,14.804417371749878,2720.966454744339,14.446591138839722,146.0,158.33,9,0.0007390975952148438,212.759610414505,39.07826903934092
