Eval-AverageReturn,StdReturn,Time-EnvSampling,PolicyExecTime,Time-EnvSampleProc,Time-AgentEval,AverageReturn,n_timesteps,Epochs,Time-ModelFit,AverageDiscountedReturn,AvgModelEpochTime,MaxReturn,MinReturn,NumTrajs,ItrTime,EnvExecTime,Time,Itr
148.08,11.993239076824711,0.2557377815246582,0.041278839111328125,0.0035178661346435547,24.910942554473877,21.793478260869566,2000,99,4.573859930038452,19.130078602221406,0.03815843820571899,74.0,9.0,92,29.744368076324463,0.1873762607574463,29.744375705718994,0
177.08,52.66858258807365,10.647826671600342,10.274123191833496,0.0018813610076904297,28.835954427719116,142.85714285714286,4000,1,0.15389251708984375,72.3485860784554,0.06746804714202881,200.0,35.0,14,39.63979744911194,0.3307018280029297,69.4933500289917,1
159.64,53.734038921111356,10.895512819290161,10.517376184463501,0.0020301342010498047,25.002284288406372,143.71428571428572,6000,74,7.661677360534668,72.31774262142048,0.0945262622833252,200.0,20.0,14,43.56175947189331,0.3341238498687744,113.15355396270752,2
182.64,48.25192763724636,11.100325584411621,10.708960771560669,0.0018513202667236328,29.64301872253418,158.53846153846155,8000,36,4.826858282089233,76.81530222879748,0.12266374278712917,200.0,63.0,13,45.57226276397705,0.3468170166015625,158.829829454422,3
150.8,26.871479097528084,11.390772342681885,10.996605396270752,0.0015671253204345703,25.578777551651,173.08333333333334,10000,2,0.4978756904602051,81.7724981597158,0.15704814592997232,200.0,130.0,12,37.469258546829224,0.3481748104095459,196.39169311523438,4
180.76,23.87605737349614,10.818630456924438,10.439290523529053,0.001695394515991211,27.86969757080078,185.45454545454547,12000,17,3.3328843116760254,83.9965460141837,0.17691931459638807,200.0,133.0,11,42.02312445640564,0.33608150482177734,238.51203727722168,5
177.68,35.02489194209677,11.838444471359253,11.426350355148315,0.0016796588897705078,28.569116830825806,171.91666666666666,14000,1,0.4452188014984131,80.99905227376857,0.21259641647338867,200.0,114.0,12,40.85469651222229,0.36499714851379395,279.46979784965515,6
171.52,22.46896007087704,13.462354183197021,12.9960036277771,0.0018987655639648438,26.828123092651367,183.25,16000,99,24.18929123878479,83.70295830416417,0.23350552082061768,200.0,132.0,12,64.48188257217407,0.4143798351287842,344.0485098361969,7
181.44,24.194093631848798,12.103173017501831,11.686483383178711,0.0018205642700195312,29.42971634864807,175.25,18000,4,1.3275256156921387,82.28195177473326,0.2562251567840576,200.0,123.0,12,42.86246919631958,0.36948490142822266,387.0092375278473,8
163.64,48.24517529013145,11.767082929611206,11.359917879104614,0.0018007755279541016,27.041011333465576,149.21428571428572,20000,1,0.5807211399078369,74.75564730450273,0.279956579208374,200.0,46.0,14,39.39082646369934,0.3606128692626953,426.5000102519989,9
173.36,19.340361598916903,12.089266777038574,11.67085862159729,0.001795053482055664,28.113874435424805,187.36363636363637,22000,3,1.3392319679260254,84.47332308976254,0.3251098394393921,200.0,143.0,11,41.544386863708496,0.37110328674316406,468.1378245353699,10
176.64,35.471747884185014,11.603872060775757,11.200181722640991,0.0019044876098632812,28.41734290122986,155.57142857142858,24000,1,0.6619079113006592,77.70236849670947,0.32031214237213135,200.0,110.0,14,40.68526864051819,0.35719895362854004,508.9266164302826,11
182.12,34.814089580704724,11.798512697219849,11.385144710540771,0.0015740394592285156,29.78281044960022,171.25,26000,84,31.828596591949463,80.87453056399943,0.36554964850930605,200.0,98.0,12,73.41169381141663,0.3658103942871094,582.4394311904907,12
181.2,39.51863133032599,11.9216628074646,11.507636070251465,0.0016770362854003906,28.60883927345276,178.33333333333334,28000,18,7.705358982086182,81.51538910941208,0.3961205106032522,200.0,61.0,12,48.23776078224182,0.36656689643859863,630.7757616043091,13
184.12,37.29276069158732,11.79046368598938,11.381172895431519,0.0017805099487304688,29.60791802406311,170.5,30000,1,0.8328399658203125,80.57968988138917,0.4052363634109497,200.0,111.0,12,42.233235359191895,0.3624880313873291,673.1009669303894,14
