PolicyExecTime,Time-ModelFit,StdReturn,AverageReturn,Time-EnvSampleProc,MaxReturn,Time-EnvSampling,Post-Loss,Eval-AverageReturn,Pre-Loss,NumTrajs,AvgModelEpochTime,EnvExecTime,ItrTime,MinReturn,n_timesteps,AverageDiscountedReturn,Time-AgentEval,Time,Itr,Epochs
0.01541447639465332,8.536118984222412,9.819465890092074,21.29787234042553,0.002323627471923828,48.0,0.12837934494018555,0.00035458882,162.07,0.0022825035,47,0.08522942066192626,0.09969782829284668,159.32361698150635,10.0,1000,18.891225755530694,150.6564757823944,159.32362699508667,0,99
15.072834968566895,3.1277825832366943,19.836134256004172,181.83333333333334,0.0015213489532470703,200.0,15.425626993179321,0.001060665,194.85,0.0009055702,6,0.031165492534637452,0.32161474227905273,198.15163373947144,148.0,2000,83.58610788511328,179.59653973579407,357.5539884567261,1,99
17.789423942565918,8.723745822906494,7.993052538854533,193.33333333333334,0.0006990432739257812,200.0,18.20602536201477,0.0008881335,199.66,0.00080102874,6,0.08712809562683105,0.380328893661499,219.93942618370056,177.0,3000,85.62579098887649,193.00883746147156,577.6033880710602,2,99
9.38147258758545,0.25130629539489746,0.0,200.0,0.00042724609375,200.0,9.60153865814209,0.123755544,178.29,0.09451677,5,0.12520575523376465,0.20045781135559082,171.34155869483948,200.0,4000,86.60203251420373,161.48818731307983,749.0389981269836,3,1
15.898601293563843,14.340709686279297,6.95221787153807,180.0,0.0013279914855957031,192.0,16.272716999053955,0.00020801307,197.66,0.00029284335,6,0.14329058408737183,0.3412294387817383,215.25013995170593,172.0,5000,83.57973390849857,184.63521718978882,964.3939406871796,4,99
18.399653434753418,19.950143814086914,3.847798793538398,196.83333333333334,0.0015597343444824219,200.0,18.829362869262695,0.00029677965,172.04,0.0004140179,6,0.19938065052032472,0.3922383785247803,196.89480686187744,191.0,6000,86.15834204369376,158.11355686187744,1161.3880648612976,5,99
15.927933692932129,22.780712127685547,5.177408189003022,172.83333333333334,0.0014488697052001953,180.0,16.299163818359375,0.00018858598,171.05,0.0002351904,6,0.22768666505813598,0.3389120101928711,196.00340938568115,166.0,7000,82.37185250666336,156.9219102859497,1357.498394727707,6,99
15.44081163406372,28.63968539237976,7.289642576209679,172.16666666666666,0.0005886554718017578,182.0,15.801280736923218,0.00013954277,164.13,0.00023929628,6,0.286286461353302,0.32921695709228516,193.8554883003235,161.0,8000,82.22968713584335,149.41382431983948,1551.4571242332458,7,99
14.802012205123901,31.570064067840576,7.556589231678968,162.57142857142858,0.0012600421905517578,180.0,15.158482789993286,0.00015830682,164.06,0.00027449703,7,0.31558358192443847,0.32393646240234375,195.06662940979004,156.0,9000,80.42911643623532,148.33665442466736,1746.6216249465942,8,99
15.224088668823242,37.10881567001343,6.020373573058707,165.42857142857142,0.0009484291076660156,172.0,15.579655408859253,0.00011614164,162.54,0.00021176765,7,0.37097283363342287,0.3253936767578125,201.3598334789276,155.0,10000,81.00057109245611,148.67030382156372,1948.0629107952118,9,99
15.468175649642944,39.88356280326843,4.861342722049587,161.71428571428572,0.0013637542724609375,172.0,15.836061000823975,0.00015859089,158.6,0.00021890328,7,0.39871399641036986,0.33448147773742676,200.45943069458008,157.0,11000,80.29131534281554,144.73826932907104,2148.6316709518433,10,99
14.671084642410278,45.86862134933472,5.368084065158839,158.57142857142858,0.0009605884552001953,164.0,15.020406007766724,0.0003774597,161.04,0.00038807472,7,0.45857169151306154,0.31882548332214355,207.6634349822998,149.0,12000,79.652667426158,146.773334980011,2356.4037833213806,11,99
13.987544536590576,48.64871430397034,7.979565739296538,156.42857142857142,0.0006439685821533203,174.0,14.321383953094482,0.00024559928,159.37,0.00045951156,7,0.4863735818862915,0.3049144744873047,207.40977787971497,147.0,13000,79.17569975689295,144.43891835212708,2563.909078836441,12,99
14.088890790939331,54.30955982208252,4.494895063586364,155.71428571428572,0.0009224414825439453,161.0,14.422806978225708,0.0004254773,158.9,0.00050707086,7,0.5429817271232605,0.3038020133972168,213.39415287971497,149.0,14000,79.06926203348652,144.66072607040405,2777.3846352100372,13,99
14.378854990005493,57.11938285827637,4.370588154508101,155.57142857142858,0.0011682510375976562,164.0,14.719947099685669,0.0001697504,162.48,0.00027922538,7,0.5710743975639343,0.3102703094482422,219.73070359230042,150.0,15000,79.04075172040018,147.89004135131836,2997.214138507843,14,99
